source,dataset,seed,train_frac,scale,model_type,tune_time,train_time,trainable_params,total_params,test_mse,test_r2,eval_time,data_length,training_efficiency,param_efficiency,tuning_efficiency,inference_efficiency
final,lorenz,43,0.2,small,pyreco_standard,3.257350206375122,0.4719569683074951,300,1450,1.9591565231014083,0.47187189095891446,1.3534340858459473,,0.9998176164947711,1.5729010601928477,0.1448636825023322,0.7388607037440313
final,lorenz,43,0.2,small,lstm,622.664085149765,8.922382116317749,952,952,2.1362887736340683,0.4241225052304505,0.011034965515136719,,0.04753466643399248,0.44550636525639203,0.0006811417498847674,90.6128239190689
final,lorenz,43,0.2,medium,pyreco_standard,26.96009612083435,3.954418897628784,900,10350,2.005028366612906,0.45950625825612,9.793741226196289,,0.11620067422067568,0.5105619418824201,0.017043939277986524,0.1021060159542694
final,lorenz,43,0.2,medium,lstm,489.3513150215149,11.23549485206604,10052,10052,1.540546014783269,0.5847163592675566,0.028206825256347656,,0.05204188288316942,0.05816915052709969,0.0011948805288220558,35.451155518448495
final,lorenz,43,0.2,large,pyreco_standard,152.46247816085815,22.47833800315857,2100,52150,2.487649399982172,0.32940652873921905,54.77388381958008,,0.014654398116023258,0.15686017708525807,0.002160574395433207,0.018256875576634815
final,lorenz,43,0.2,large,lstm,421.0059509277344,7.0435168743133545,49077,49077,0.5935684358776389,0.8399922763035375,0.06775212287902832,,0.11925749196532351,0.017115802905388156,0.0019952028527324053,14.759467276297766
final,lorenz,43,0.3,small,pyreco_standard,5.3420021533966064,0.8052749633789062,300,1450,0.008466126926302752,0.9981235541267404,1.1571190357208252,,1.2394801279534697,3.3270674235310564,0.18684443371998075,0.8642145750912112
final,lorenz,43,0.3,small,lstm,817.8349900245667,11.781966924667358,952,952,0.009643767083513874,0.9978625400842603,0.01650214195251465,,0.08469404656883185,1.0481738360403616,0.0012201269828699295,60.594522114476874
final,lorenz,43,0.3,medium,pyreco_standard,43.08407688140869,6.557084798812866,900,10350,0.0074356545187635285,0.9983519496744881,8.499038219451904,,0.1522554348541902,1.1092787115508629,0.023172178650834936,0.11766035832747801
final,lorenz,43,0.3,medium,lstm,853.5688920021057,6.805000066757202,10052,10052,0.00791334416193562,0.9982460737801823,0.026623964309692383,,0.1466930076846965,0.09930819483406163,0.001169496782233042,37.5587357927825
