dataset,seed,train_frac,budget,budget_value,model_type,trainable_params,total_params,tune_time,train_time,val_mse,test_mse,test_mae,test_r2
lorenz,43,0.9,medium,10000,pyreco_standard,900,10350,791.0659520626068,23.104915142059326,0.00016705410645087131,0.0001210882142916517,0.00781582189730402,0.9999012015742292
lorenz,43,0.9,medium,10000,lstm,10052,10052,34.85181784629822,34.80979681015015,0.09126077392999045,0.09710443437080431,0.26097509719538925,0.920770445684449
lorenz,43,0.9,large,30000,pyreco_standard,1500,27250,2070.7560818195343,59.962125062942505,0.00013109122644311392,0.00012352320328951036,0.007218838013909598,0.9998992148153926
lorenz,43,0.9,large,30000,lstm,29939,29939,56.29547190666199,56.2490758895874,0.08794073421893521,0.0895410894513196,0.24291345091208688,0.9269415381890126
lorenz,44,0.5,small,1000,pyreco_standard,300,1450,56.38980293273926,1.6008219718933105,0.0012813138043720055,0.0014244398865110824,0.02546184782119723,0.9991106821298387
lorenz,44,0.5,small,1000,lstm,952,952,18.10464882850647,18.079020977020264,0.6435742159417122,0.6046117516465024,0.6078901842668504,0.6225238844120147
lorenz,44,0.5,medium,10000,pyreco_standard,900,10350,426.87863779067993,12.310834884643555,0.0008273873688431052,0.0005342190775338776,0.016323538568143555,0.9996664720099943
lorenz,44,0.5,medium,10000,lstm,10052,10052,22.1786630153656,22.16837191581726,0.16868258225372307,0.1482161302891922,0.30705296849706,0.90746450267186
lorenz,44,0.5,large,30000,pyreco_standard,1500,27250,1116.5781078338623,31.76147198677063,0.000963715483853608,0.0005642521112113788,0.01654664509979685,0.999647721542672
lorenz,44,0.5,large,30000,lstm,29939,29939,33.42417621612549,33.384501934051514,0.13812723691572157,0.12419105320697797,0.28096944643995425,0.9224640337742565
lorenz,44,0.7,small,1000,pyreco_standard,300,1450,81.32505917549133,2.3303098678588867,0.0003344659075139109,0.0005873903819823834,0.01686227175871032,0.9995710583993375
lorenz,44,0.7,small,1000,lstm,952,952,24.676802158355713,24.64839792251587,0.1425604569053823,0.189378153788906,0.35622076990043317,0.861706675988487
lorenz,44,0.7,medium,10000,pyreco_standard,900,10350,609.3701498508453,18.007704973220825,0.00014279342070894538,0.0003877250365586947,0.014026111873076874,0.999716863941086
lorenz,44,0.7,medium,10000,lstm,10052,10052,18.6093270778656,18.571727752685547,0.2104702458689493,0.25971107407042027,0.42547030323896007,0.8103460879873532
lorenz,44,0.7,large,30000,pyreco_standard,1500,27250,1579.2643671035767,45.9907751083374,0.00018697702173107582,0.000421941326554433,0.013359171193491356,0.9996918775084687
lorenz,44,0.7,large,30000,lstm,29939,29939,55.01907706260681,54.97365880012512,0.041056799972274224,0.04958462482424019,0.17684962379680835,0.9637908467813479
lorenz,44,0.9,small,1000,pyreco_standard,300,1450,105.34695196151733,3.0634961128234863,0.0002697583120207365,0.0004288432110045304,0.013403603644835843,0.999650097786993
lorenz,44,0.9,small,1000,lstm,952,952,55.8287308216095,55.799397230148315,0.335044749822715,0.28880365743127007,0.39869796868739393,0.7643590098511474
lorenz,44,0.9,medium,10000,pyreco_standard,900,10350,789.3319029808044,23.14973497390747,0.00010049088669495328,0.0001941414850552403,0.00975598788925457,0.9998415958711386
lorenz,44,0.9,medium,10000,lstm,10052,10052,42.8324921131134,42.78872108459473,0.10039837049886609,0.10847575926291199,0.2528487623390629,0.9114923420734578
lorenz,44,0.9,large,30000,pyreco_standard,1500,27250,2069.2250759601593,61.09886980056763,0.00011151681859144857,0.00016001394436592606,0.00869884418119374,0.9998694412507675
lorenz,44,0.9,large,30000,lstm,29939,29939,39.63740396499634,39.58926606178284,0.08683083606258057,0.08983562712067077,0.23242391991274508,0.9267012186977036
lorenz,45,0.5,small,1000,pyreco_standard,300,1450,56.32574200630188,1.632033109664917,0.0014474462673758643,0.0011034650624625049,0.021629809562743085,0.9993110757368988
lorenz,45,0.5,small,1000,lstm,952,952,33.367833852767944,33.3424117565155,0.3964641417866306,0.3243863276015087,0.42006068277803416,0.7974764953552197
lorenz,45,0.5,medium,10000,pyreco_standard,900,10350,429.4231641292572,12.36306095123291,0.0011251645624060958,0.0005671188467420039,0.015418637593583516,0.9996459317590802
lorenz,45,0.5,medium,10000,lstm,10052,10052,20.213245153427124,20.202622890472412,0.2175612072085549,0.19193440437132434,0.345596911756383,0.8801699549959446
lorenz,45,0.5,large,30000,pyreco_standard,1500,27250,1125.907424211502,31.978179931640625,0.0010248756227024928,0.0004643332732021967,0.015780390637635512,0.9997101036825213
lorenz,45,0.5,large,30000,lstm,29939,29939,31.662536144256592,31.621761083602905,0.2450893874149936,0.19908716334437132,0.3702268084411523,0.8757042864648085
lorenz,45,0.7,small,1000,pyreco_standard,300,1450,81.76500511169434,2.38637375831604,0.00030648480576322496,0.0005670381954776436,0.01715198465179095,0.9995859205757096
lorenz,45,0.7,small,1000,lstm,952,952,26.086209058761597,26.061925888061523,0.15855352921121807,0.1581263954532253,0.3266525345461548,0.8845282605006229
lorenz,45,0.7,medium,10000,pyreco_standard,900,10350,618.2756721973419,17.66230297088623,0.0002470321500464213,0.0003434447859996328,0.012547237728682503,0.9997491995770365
lorenz,45,0.7,medium,10000,lstm,10052,10052,38.07519197463989,38.01998472213745,0.09710223807479507,0.11598894736932147,0.27113715139875727,0.9152991157671768
lorenz,45,0.7,large,30000,pyreco_standard,1500,27250,1575.434890985489,45.11559772491455,0.0002851201432966258,0.0002921009402518918,0.011973145671135868,0.9997866934006583
lorenz,45,0.7,large,30000,lstm,29939,29939,43.47556829452515,43.43346691131592,0.07240734364420416,0.07805606879278804,0.22020016060974346,0.9429995857671185
